Year,Player,Age,Hometown,Home State,Tm,FantPos,FantPt,Height (inches),Weight,College,DOB,Draft Round,Draft Year,Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2000,Edgerrin James,22,Immokalee,FL,IND,RB,340,73,214,Miami (FL),8/1/1978,1,1999,0,4.38,0,0,0,3.88,6.87
2012,Tom Brady,35,San Mateo,CA,NWE,QB,340,76,0,Michigan,1/0/1900,6,2000,33,5.28,0,24.5,99,4.38,7.2
2005,Larry Johnson,26,State College,PA,KAN,RB,335,73,228,Penn St.,11/19/1979,1,2003,0,4.55,19,0,0,0,0
2006,Larry Johnson,27,State College,PA,KAN,RB,334,73,228,Penn St.,11/19/1979,1,2003,0,4.55,19,0,0,0,0
2010,Arian Foster,24,San Diego,CA,HOU,RB,330,73,232,Tennessee,8/24/1986,0,0,0,4.68,23,0,0,0,0
1999,Kurt Warner,28,Burlington,IA,STL,QB,329,74,220,Northern Iowa,6/22/1971,0,0,0,0,0,0,0,0,0
2006,Steven Jackson,23,Las Vegas,NV,STL,RB,329,75,229,Oregon St.,7/22/1983,1,2004,0,0,0,0,0,0,0
2002,Ricky Williams,25,Dallas,TX,MIA,RB,324,67,195,Texas Tech,8/29/1978,0,0,0,4.47,32.5,32.5,110,0,0
2012,Cam Newton,23,College Park,GA,CAR,QB,323,78,0,Auburn,1/0/1900,1,2011,21,4.56,0,35,126,4.18,6.92
2012,Robert Griffin,22,Okinawa,Japan,WAS,QB,318,74,0,Baylor,1/0/1900,1,2012,24,4.33,0,39,120,0,0
1999,Marshall Faulk,26,New Orleans,LA,STL,RB,317,70,211,San Diego St.,2/26/1973,1,1994,0,0,0,0,0,0,0
2005,LaDainian Tomlinson,26,Rosebud,TX,SDG,RB,317,70,221,TCU,6/23/1979,1,2001,0,4.46,18,40.5,0,4.21,6.84
1999,Edgerrin James,21,Immokalee,FL,IND,RB,316,73,214,Miami (FL),8/1/1978,1,1999,0,4.38,0,0,0,3.88,6.87
1999,Steve Beuerlein,34,Los Angeles,CA,CAR,QB,316,75,220,Notre Dame,3/7/1965,4,1987,0,0,0,0,0,0,0
2010,Michael Vick,30,Newport News,VA,PHI,QB,316,73,0,Virginia Tech,6/26/1980,1,2001,20,4.33,0,38,0,0,0
2006,Peyton Manning,30,New Orleans,LA,IND,QB,313,77,0,Tennessee,3/24/1976,1,1998,0,0,0,0,0,0,0
2003,Jamal Lewis,24,Atlanta,GA,BAL,RB,311,71,240,Tennessee,8/29/1979,1,2000,0,4.58,0,0,0,0,0
2012,Peyton Manning,36,New Orleans,LA,DEN,QB,311,77,0,Tennessee,1/0/1900,1,1998,0,0,0,0,0,0,0
2002,Rich Gannon,37,Philadelphia,PA,OAK,QB,309,75,210,Delaware,12/20/1965,4,1987,0,0,0,0,0,0,0
2007,LaDainian Tomlinson,28,Rosebud,TX,SDG,RB,308,12,221,TCU,6/23/1979,1,2001,0,4.46,18,40.5,0,4.21,6.84
2013,Jamaal Charles,27,Port Arthur,TX,KAN,RB,308,73,200,Texas,12/27/1986,3,2008,0,4.38,0,30.5,122,4.22,6.8
2004,Shaun Alexander,27,Florence,KY,SEA,RB,307,71,225,Alabama,8/30/1977,1,2000,0,0,0,0,0,0,0
2012,Adrian Peterson,27,Palestine,TX,MIN,RB,307,74,217,Oklahoma,3/21/1985,1,2007,16,4.4,0,38.5,127,4.4,7.09
2002,LaDainian Tomlinson,23,Rosebud,TX,SDG,RB,307,70,221,TCU,6/23/1979,1,2001,0,4.46,40.5,40.5,0,4.21,6.84
2005,Tiki Barber,30,Roanoke,VA,NYG,RB,307,70,200,Virginia,4/7/1975,2,1997,0,0,0,0,0,0,0
2010,Aaron Rodgers,27,Chico,CA,GNB,QB,306,74,0,California,12/2/1983,1,2005,39,4.71,0,34.5,110,0,7.39
2000,Rich Gannon,35,Philadelphia,PA,OAK,QB,306,75,210,Delaware,12/20/1965,4,1987,0,0,0,0,0,0,0
2009,Drew Brees,30,Austin,TX,NOR,QB,306,73,0,Purdue,1/15/1979,2,2001,28,4.83,0,32,105,4.21,7.09
2012,Matt Ryan,27,Exton,PA,ATL,QB,305,77,0,Boston Col.,1/0/1900,1,2008,32,4.89,0,0,0,4.51,7.4
2008,Drew Brees,29,Austin,TX,NOR,QB,305,73,0,Purdue,1/15/1979,2,2001,28,4.83,0,32,105,4.21,7.09
2001,Jeff Garcia,31,Gilroy,CA,SFO,QB,305,73,195,San Jose St.,2/24/1970,0,0,0,0,0,0,0,0,0
2002,Daunte Culpepper,25,Ocala,FL,MIN,QB,303,76,264,Central Florida,1/28/1977,1,1999,18,4.52,39,39,122,4.13,7.21
2004,Donovan McNabb,28,Chicago,IL,PHI,QB,303,74,240,Syracuse,11/25/1976,1,1999,14,4.64,0,33,117,4.38,7.3
2010,Tom Brady,33,San Mateo,CA,NWE,QB,301,76,0,Michigan,8/3/1977,6,2000,33,5.28,0,24.5,99,4.38,7.2
2001,Kurt Warner,30,Burlington,IA,STL,QB,301,74,220,Northern Iowa,6/22/1971,0,0,0,0,0,0,0,0,0
2011,Ray Rice,24,New Rochelle,NY,BAL,RB,301,69,195,Rutgers,1/22/1987,2,2008,0,4.42,23,31.5,119,4.2,6.65
2000,Peyton Manning,24,New Orleans,LA,IND,QB,300,77,230,Tennessee,3/24/1976,1,1998,0,0,0,0,0,0,0
2004,Tiki Barber,29,Roanoke,VA,NYG,RB,300,70,200,Virginia,4/7/1975,2,1997,0,0,0,0,0,0,0
2007,Tony Romo,27,San Diego,CA,DAL,QB,299,74,219,East. Illinois,4/21/1980,0,0,30,5.01,0,30,105,4.2,7.11
2013,Cam Newton,24,College Park,GA,CAR,QB,298,78,260,Auburn,5/11/1989,1,2011,21,4.56,0,35,126,4.18,6.92
2008,Aaron Rodgers,25,Chico,CA,GNB,QB,296,74,0,California,12/2/1983,1,2005,39,4.71,0,34.5,110,0,7.39
2000,Donovan McNabb,24,Chicago,IL,PHI,QB,294,74,240,Syracuse,11/25/1976,1,1999,14,4.64,33,33,117,4.38,7.3
2013,Andrew Luck,24,Washington,DC,IND,QB,293,75,235,Stanford,9/12/1989,1,2012,37,4.59,0,36,124,4.28,6.8
2002,Michael Vick,22,Newport News,VA,ATL,QB,293,73,215,Virginia Tech,6/26/1980,1,2001,20,4.33,38,38,0,0,0
2000,Eddie George,27,Philadelphia,PA,TEN,RB,292,75,235,Ohio St.,9/24/1973,1,1996,0,0,0,0,0,0,0
2010,Philip Rivers,29,Decatur,AL,SDG,QB,290,77,0,North Carolina St.,12/8/1981,1,2004,30,5.08,0,0,0,0,0
2009,Adrian Peterson,24,Palestine,TX,MIN,RB,290,70,210,Oklahoma,3/21/1985,1,2007,16,4.4,0,38.5,127,4.4,7.09
2002,Clinton Portis,21,Laurel,MS,DEN,RB,289,71,205,Miami (FL),9/1/1981,2,2002,0,0,0,0,0,0,0
2011,Eli Manning,30,New Orleans,LA,NYG,QB,289,76,218,Mississippi,1/3/1981,1,2004,39,4.9,0,0,0,0,0
2010,Peyton Manning,34,New Orleans,LA,IND,QB,288,77,0,Tennessee,3/24/1976,1,1998,0,0,0,0,0,0,0
2007,Randy Moss,30,Rand,WV,NWE,WR,287,76,215,Marshall,2/13/1977,1,1998,0,0,0,0,0,0,0
2013,Philip Rivers,32,Decatur,AL,SDG,QB,287,77,228,North Carolina St.,12/8/1981,1,2004,30,5.08,0,0,0,0,0
2008,Philip Rivers,27,Decatur,AL,SDG,QB,287,77,0,North Carolina St.,12/8/1981,1,2004,30,5.08,0,0,0,0,0
2009,Brett Favre,40,Gulfport,MS,MIN,QB,287,74,0,Southern Miss,10/10/1969,2,1991,0,0,0,0,0,0,0
2004,LaDainian Tomlinson,25,Rosebud,TX,SDG,RB,287,70,221,TCU,6/23/1979,1,2001,0,4.46,18,40.5,0,4.21,6.84
2008,DeAngelo Williams,25,Little Rock,AR,CAR,RB,286,68,210,Memphis,4/25/1983,1,2006,0,4.49,25,35.5,0,0,0
2013,Andy Dalton,26,0,,CIN,QB,286,74,215,TCU,1/0/1900,2,2011,29,4.83,0,29.5,106,4.27,6.93
2003,Daunte Culpepper,26,Ocala,FL,MIN,QB,285,76,0,Central Florida,1/28/1977,1,1999,18,4.52,39,39,122,4.13,7.21
2009,Matt Schaub,28,West Chester,PA,HOU,QB,285,77,0,Virginia,6/25/1981,3,2004,30,5.04,0,30.5,110,4.66,7.65
2011,Tony Romo,31,San Diego,CA,DAL,QB,282,74,219,East. Illinois,4/21/1980,0,0,30,5.01,0,30,105,4.2,7.11
2009,Tony Romo,29,San Diego,CA,DAL,QB,282,74,0,East. Illinois,4/21/1980,0,0,30,5.01,0,30,105,4.2,7.11
2011,LeSean McCoy,23,Harrisburg,PA,PHI,RB,282,12,215,Pittsburgh,7/12/1988,2,2009,0,0,0,0,0,0,0
2007,Brian Westbrook,28,Washington,DC,PHI,RB,282,68,200,Villanova,9/2/1979,3,2002,0,4.57,26,37,118,0,7.09
2008,Jay Cutler,25,Santa Claus,IN,DEN,QB,281,75,0,Vanderbilt,4/29/1983,1,2006,26,4.77,0,0,0,4.31,7.12
2001,Rich Gannon,36,Philadelphia,PA,OAK,QB,280,75,210,Delaware,12/20/1965,4,1987,0,0,0,0,0,0,0
2011,Matt Ryan,26,Exton,PA,ATL,QB,279,77,224,Boston Col.,5/17/1985,1,2008,32,4.89,0,0,0,4.51,7.4
2012,Tony Romo,32,San Diego,CA,DAL,QB,279,74,0,East. Illinois,1/0/1900,0,0,30,5.01,0,30,105,4.2,7.11
2013,Matthew Stafford,25,Tampa,FL,DET,QB,279,74,230,Georgia,2/7/1988,1,2009,38,4.81,0,30.5,107,4.47,7.06
2013,LeSean McCoy,25,Harrisburg,PA,PHI,RB,279,70,215,Pittsburgh,7/12/1988,2,2009,0,0,0,0,0,0,0
2009,Peyton Manning,33,New Orleans,LA,IND,QB,279,77,0,Tennessee,3/24/1976,1,1998,0,0,0,0,0,0,0
2004,Curtis Martin,31,Pittsburgh,PA,NYJ,RB,278,71,210,Pittsburgh,5/1/1973,3,1995,0,0,0,0,0,0,0
2012,Russell Wilson,24,Richmond,VA,SEA,QB,278,71,0,Wisconsin,1/0/1900,3,0,28,4.53,0,34,118,4.09,6.97
2003,Clinton Portis,22,Laurel,MS,DEN,RB,277,71,205,Miami (FL),9/1/1981,2,2002,0,0,0,0,0,0,0
2008,Kurt Warner,37,Burlington,IA,ARI,QB,277,74,0,Northern Iowa,6/22/1971,0,0,0,0,0,0,0,0,0
2007,Peyton Manning,31,New Orleans,LA,IND,QB,277,77,230,Tennessee,3/24/1976,1,1998,0,0,0,0,0,0,0
2001,Priest Holmes,28,Fort Smith,AR,KAN,RB,277,69,213,Texas,10/7/1973,0,0,0,0,0,0,0,0,0
2012,Matthew Stafford,24,Tampa,FL,DET,QB,276,74,0,Georgia,1/0/1900,1,2009,38,4.81,0,30.5,107,4.47,7.06
2008,Michael Turner,26,Waukegan,IL,ATL,RB,276,70,237,Northern Illinois,2/13/1982,5,2004,0,4.49,22,31,114,4.21,7.54
2012,Andrew Luck,23,Washington,DC,IND,QB,276,75,0,Stanford,1/0/1900,1,2012,37,4.59,0,36,124,4.28,6.8
2009,Philip Rivers,28,Decatur,AL,SDG,QB,275,77,0,North Carolina St.,12/8/1981,1,2004,30,5.08,0,0,0,0,0
2009,Tom Brady,32,San Mateo,CA,NWE,QB,274,76,0,Michigan,8/3/1977,6,2000,33,5.28,0,24.5,99,4.38,7.2
2009,Ben Roethlisberger,27,Findlay,OH,PIT,QB,273,77,0,Miami (OH),3/2/1982,1,2004,25,4.75,0,0,0,0,0
2010,Drew Brees,31,Austin,TX,NOR,QB,273,73,0,Purdue,1/15/1979,2,2001,28,4.83,0,32,105,4.21,7.09
2009,Maurice Jones-Drew,24,Pinole,CA,JAX,RB,273,68,205,UCLA,3/23/1985,2,2006,0,0,0,0,0,0,0
2002,Shaun Alexander,25,Florence,KY,SEA,RB,272,71,225,Alabama,8/30/1977,1,2000,0,0,0,0,0,0,0
2006,Frank Gore,23,Coral Gables,FL,SFO,RB,272,69,215,Miami (FL),5/14/1983,3,2005,0,0,0,0,0,0,0
2001,Steve McNair,28,Mount Olive,MS,TEN,QB,271,74,235,Alcorn St.,2/14/1973,1,1995,0,0,0,0,0,0,0
2003,Peyton Manning,27,New Orleans,LA,IND,QB,271,77,0,Tennessee,3/24/1976,1,1998,0,0,0,0,0,0,0
2002,Deuce McAllister,24,Lena,MS,NOR,RB,270,73,232,Mississippi,12/27/1978,1,2001,0,4.41,37.5,37.5,0,0,0
2005,Carson Palmer,26,Fresno,CA,CIN,QB,270,77,0,USC,12/27/1979,1,2003,26,4.65,0,0,0,0,0
2003,Shaun Alexander,26,Florence,KY,SEA,RB,269,71,225,Alabama,8/30/1977,1,2000,0,0,0,0,0,0,0
2002,Peyton Manning,26,New Orleans,LA,IND,QB,269,77,230,Tennessee,3/24/1976,1,1998,0,0,0,0,0,0,0
2006,Michael Vick,26,Newport News,VA,ATL,QB,269,73,0,Virginia Tech,6/26/1980,1,2001,20,4.33,0,38,0,0,0
2004,Trent Green,34,Cedar Rapids,IA,KAN,QB,268,75,217,Indiana,7/9/1970,8,1993,0,0,0,0,0,0,0
2005,Edgerrin James,27,Immokalee,FL,IND,RB,268,73,214,Miami (FL),8/1/1978,1,1999,0,4.38,0,0,0,3.88,6.87
2000,Elvis Grbac,30,Cleveland,OH,KAN,QB,268,77,232,Michigan,8/13/1970,0,1993,0,0,0,0,0,0,0
2006,Willie Parker,26,Clinton,NC,PIT,RB,268,70,209,North Carolina,11/11/1980,0,0,0,0,0,0,0,0,0
2001,Brett Favre,32,Gulfport,MS,GNB,QB,268,74,225,Southern Miss,10/10/1969,2,1991,0,0,0,0,0,0,0
2013,Russell Wilson,25,Richmond,VA,SEA,QB,268,71,203,Wisconsin,11/29/1988,3,2012,28,4.53,0,34,118,4.09,6.97
2003,Randy Moss,26,Rand,WV,MIN,WR,267,76,215,Marshall,2/13/1977,1,1998,0,0,0,0,0,0,0
2007,Ben Roethlisberger,25,Findlay,OH,PIT,QB,267,77,240,Miami (OH),3/2/1982,1,2004,25,4.75,0,0,0,0,0
2001,Peyton Manning,25,New Orleans,LA,IND,QB,267,77,230,Tennessee,3/24/1976,1,1998,0,0,0,0,0,0,0
2006,Drew Brees,27,Austin,TX,NOR,QB,266,73,0,Purdue,1/15/1979,2,2001,28,4.83,0,32,105,4.21,7.09
2001,Donovan McNabb,25,Chicago,IL,PHI,QB,266,74,240,Syracuse,11/25/1976,1,1999,14,4.64,33,33,117,4.38,7.3
2002,Aaron Brooks,26,Newport News,VA,NOR,QB,266,76,220,Virginia,3/24/1976,4,1999,17,4.6,35.5,35.5,120,4.29,7.52
1999,Rich Gannon,34,Philadelphia,PA,OAK,QB,265,75,210,Delaware,12/20/1965,4,1987,0,0,0,0,0,0,0
2011,Calvin Johnson,26,Tyrone,GA,DET,WR,265,77,239,Georgia Tech,9/25/1985,1,2007,0,4.35,0,0,0,0,0
2011,Philip Rivers,30,Decatur,AL,SDG,QB,265,77,228,North Carolina St.,12/8/1981,1,2004,30,5.08,0,0,0,0,0
2007,Drew Brees,28,Austin,TX,NOR,QB,265,73,209,Purdue,1/15/1979,2,2001,28,4.83,0,32,105,4.21,7.09
2010,Josh Freeman,22,Kansas City,MO,TAM,QB,264,78,0,Kansas St.,1/13/1988,1,2009,27,4.9,0,33.5,119,4.43,7.11
2003,Deuce McAllister,25,Lena,MS,NOR,RB,264,73,232,Mississippi,12/27/1978,1,2001,0,4.41,37.5,37.5,0,0,0
2001,Ahman Green,24,Omaha,NE,GNB,RB,264,73,217,Nebraska,2/16/1977,3,1998,0,0,0,0,0,0,0
2011,Maurice Jones-Drew,26,Pinole,CA,JAX,RB,264,68,205,UCLA,3/23/1985,2,2006,0,0,0,0,0,0,0
2002,Tiki Barber,27,Roanoke,VA,NYG,RB,264,70,200,Virginia,4/7/1975,2,1997,0,0,0,0,0,0,0
2012,Doug Martin,23,Stockton,CA,TAM,RB,263,69,223,Boise St.,8/10/1900,1,2012,0,4.46,28,36,120,4.16,6.79
2013,Matt Forte,28,Lake Charles,LA,CHI,RB,263,73,221,Tulane,12/10/1985,2,2008,0,0,0,0,0,0,0
2001,Shaun Alexander,24,Florence,KY,SEA,RB,262,71,225,Alabama,8/30/1977,1,2000,0,0,0,0,0,0,0
2004,Domanick Williams,24,Lafayette,LA,HOU,RB,262,69,216,LSU,10/1/1980,4,2003,0,0,0,0,0,0,0
2013,Colin Kaepernick,26,Milwaukee,WI,SFO,QB,262,76,225,Nevada-Reno,11/3/1987,2,2011,0,4.53,0,32.5,115,4.18,6.85
2012,Arian Foster,26,San Diego,CA,HOU,RB,262,73,232,Tennessee,8/19/1900,0,0,0,4.68,23,0,0,0,0
2013,Tony Romo,33,San Diego,CA,DAL,QB,261,74,219,East. Illinois,4/21/1980,0,0,30,5.01,0,30,105,4.2,7.11
1999,Peyton Manning,23,New Orleans,LA,IND,QB,261,77,230,Tennessee,3/24/1976,1,1998,0,0,0,0,0,0,0
2013,Nick Foles,24,Austin,TX,PHI,QB,260,77,244,Arizona,1/20/1989,3,2012,29,5.03,0,30.5,112,0,0
2004,Jake Delhomme,29,Breaux Bridge,LA,CAR,QB,259,74,215,La-Lafayette,1/10/1975,0,0,0,0,0,0,0,0,0
2004,Edgerrin James,26,Immokalee,FL,IND,RB,259,73,214,Miami (FL),8/1/1978,1,1999,0,4.38,0,0,0,3.88,6.87
2013,Ben Roethlisberger,31,Findlay,OH,PIT,QB,259,77,240,Miami (OH),3/2/1982,1,2004,25,4.75,0,0,0,0,0
2002,Jeff Garcia,32,Gilroy,CA,SFO,QB,259,73,195,San Jose St.,2/24/1970,0,0,0,0,0,0,0,0,0
2002,Travis Henry,24,Frostproof,FL,BUF,RB,259,69,215,Tennessee,10/29/1978,2,2001,0,4.61,35.5,35.5,0,0,0
2002,Drew Bledsoe,30,Ellensburg,WA,BUF,QB,259,77,238,Washington St.,2/14/1972,1,1993,0,0,0,0,0,0,0
2004,Jake Plummer,30,Boise,ID,DEN,QB,258,74,212,Arizona St.,12/19/1974,2,1997,0,0,0,0,0,0,0
2007,Matt Hasselbeck,32,Westwood,MA,SEA,QB,258,76,223,Boston Col.,9/25/1975,6,1998,0,0,0,0,0,0,0
2010,Matt Ryan,25,Exton,PA,ATL,QB,258,77,0,Boston Col.,5/17/1985,1,2008,32,4.89,0,0,0,4.51,7.4
2000,Mike Anderson,27,Winnsboro,SC,DEN,RB,258,73,230,Utah,9/21/1973,0,2000,0,0,0,0,0,0,0
2006,Brian Westbrook,27,Washington,DC,PHI,RB,258,68,200,Villanova,9/2/1979,3,2002,0,4.57,26,37,118,0,7.09
2006,Marc Bulger,29,Pittsburgh,PA,STL,QB,258,75,0,West Virginia,4/5/1977,6,2000,29,4.97,0,0,100,4.34,7.46
2002,Steve McNair,29,Mount Olive,MS,TEN,QB,257,74,235,Alcorn St.,2/14/1973,1,1995,0,0,0,0,0,0,0
2004,Brett Favre,35,Gulfport,MS,GNB,QB,257,74,225,Southern Miss,10/10/1969,2,1991,0,0,0,0,0,0,0
2001,Aaron Brooks,25,Newport News,VA,NOR,QB,257,76,220,Virginia,3/24/1976,4,1999,17,4.6,35.5,35.5,120,4.29,7.52
1999,Stephen Davis,25,Spartanburg,SC,WAS,RB,256,73,230,Auburn,3/1/1974,4,1996,0,0,0,0,0,0,0
2002,Trent Green,32,Cedar Rapids,IA,KAN,QB,256,75,217,Indiana,7/9/1970,8,1993,0,0,0,0,0,0,0
2002,Tom Brady,25,San Mateo,CA,NWE,QB,256,76,225,Michigan,8/3/1977,6,2000,33,5.28,0,24.5,99,4.38,7.2
2007,Derek Anderson,24,Portland,OR,CLE,QB,256,78,229,Oregon St.,6/15/1983,6,2005,23,5.03,0,29,103,4.67,7.67
2011,Arian Foster,25,San Diego,CA,HOU,RB,256,73,232,Tennessee,8/24/1986,0,0,0,4.68,23,0,0,0,0
2002,Charlie Garner,30,Fairfax,VA,OAK,RB,256,70,190,Tennessee,2/13/1972,2,1994,0,0,0,0,0,0,0
2005,Tom Brady,28,San Mateo,CA,NWE,QB,255,76,0,Michigan,8/3/1977,6,2000,33,5.28,0,24.5,99,4.38,7.2
2003,Trent Green,33,Cedar Rapids,IA,KAN,QB,254,75,0,Indiana,7/9/1970,8,1993,0,0,0,0,0,0,0
1999,Eddie George,26,Philadelphia,PA,TEN,RB,254,75,235,Ohio St.,9/24/1973,1,0,0,0,0,0,0,0,0
2008,Peyton Manning,32,New Orleans,LA,IND,QB,254,77,0,Tennessee,3/24/1976,1,1998,0,0,0,0,0,0,0
2004,Corey Dillon,30,Seattle,WA,NWE,RB,254,73,225,Washington,10/24/1974,2,1997,0,0,0,0,0,0,0
2003,Steve McNair,30,Mount Olive,MS,TEN,QB,253,74,0,Alcorn St.,2/14/1973,1,1995,0,0,0,0,0,0,0
2008,Donovan McNabb,32,Chicago,IL,PHI,QB,253,74,0,Syracuse,11/25/1976,1,1999,14,4.64,0,33,117,4.38,7.3
2011,Mark Sanchez,25,Long Beach,CA,NYJ,QB,253,74,225,USC,11/11/1986,1,2009,28,4.93,0,32.5,116,4.21,7.06
2008,Matt Cassel,26,Northridge,CA,NWE,QB,253,77,0,USC,5/17/1982,7,2005,0,0,0,0,0,0,0
2003,Matt Hasselbeck,28,Westwood,MA,SEA,QB,252,76,0,Boston Col.,9/25/1975,6,1998,0,0,0,0,0,0,0
2013,Tom Brady,36,San Mateo,CA,NWE,QB,252,76,225,Michigan,8/3/1977,6,2000,33,5.28,0,24.5,99,4.38,7.2
2009,Ray Rice,22,New Rochelle,NY,BAL,RB,252,69,195,Rutgers,1/22/1987,2,2008,0,4.42,23,31.5,119,4.2,6.65
2010,Matt Schaub,29,West Chester,PA,HOU,QB,252,77,0,Virginia,6/25/1981,3,2004,30,5.04,0,30.5,110,4.66,7.65
2000,Ahman Green,23,Omaha,NE,GNB,RB,251,73,217,Nebraska,2/16/1977,0,1998,0,0,0,0,0,0,0
2012,Andy Dalton,25,0,,CIN,QB,251,74,0,TCU,1/0/1900,2,2011,29,4.83,0,29.5,106,4.27,6.93
2006,Carson Palmer,27,Fresno,CA,CIN,QB,251,77,0,USC,12/27/1979,1,2003,26,4.65,0,0,0,0,0
2013,Alex Smith,29,Seattle,WA,KAN,QB,251,76,212,Utah,5/7/1984,1,2005,0,4.75,28,0,0,0,0
2003,Aaron Brooks,27,Newport News,VA,NOR,QB,251,76,0,Virginia,3/24/1976,4,1999,17,4.6,35.5,35.5,120,4.29,7.52
2012,Josh Freeman,24,Kansas City,MO,TAM,QB,249,78,0,Kansas St.,1/0/1900,1,2009,27,4.9,0,33.5,119,4.43,7.11
2008,Adrian Peterson,23,Palestine,TX,MIN,RB,249,70,210,Oklahoma,3/21/1985,1,2007,16,4.4,0,38.5,127,4.4,7.09
2007,Brett Favre,38,Gulfport,MS,GNB,QB,249,74,225,Southern Miss,10/10/1969,2,1991,0,0,0,0,0,0,0
2013,Matt Ryan,28,Exton,PA,ATL,QB,248,77,224,Boston Col.,5/17/1985,1,2008,32,4.89,0,0,0,4.51,7.4
2000,Fred Taylor,24,Pahokee,FL,JAX,RB,248,73,234,Florida,1/27/1976,1,1998,0,0,0,0,0,0,0
2001,Curtis Martin,28,Pittsburgh,PA,NYJ,RB,248,71,210,Pittsburgh,5/1/1973,3,1995,0,0,0,0,0,0,0
2005,Peyton Manning,29,New Orleans,LA,IND,QB,248,77,0,Tennessee,3/24/1976,1,1998,0,0,0,0,0,0,0
2004,Aaron Brooks,28,Newport News,VA,NOR,QB,248,76,220,Virginia,3/24/1976,4,1999,17,4.6,0,35.5,120,4.29,7.52
2012,Marshawn Lynch,26,Oakland,CA,SEA,RB,247,71,215,California,8/2/1900,1,2007,0,4.46,20,35.5,125,4.58,7.09
1999,Brad Johnson,31,Marietta,GA,WAS,QB,247,77,226,Florida St.,9/13/1968,9,1992,0,0,0,0,0,0,0
2009,Eli Manning,28,New Orleans,LA,NYG,QB,247,76,0,Mississippi,1/3/1981,1,2004,39,4.9,0,0,0,0,0
